,calibration,ir,task,dev_cwce,dev_rbs,dev_bs,dev_nbs,app_cwce,app_rbs,app_bs,app_nbs,diff_cwce,diff_rbs,diff_bs,diff_nbs
0,NONE,1.0,lapgyn4_surgical_actions,0.011707637036288502,0.3248657361046776,0.01319221779704094,0.12061456590890884,0.013014384260989907,0.3287387800681524,0.013508647680282593,0.12350763380527496,0.0013067472247014055,0.003873043963474765,0.00031642988324165344,0.0028930678963661194
1,NONE,1.0,lapgyn4_instrument_count,0.017590852791392338,0.3555531478825956,0.03160450980067253,0.16855739057064056,0.01717115219089907,0.3681422378946526,0.033882174640893936,0.18070493638515472,-0.00041970060049326824,0.012589090012056992,0.002277664840221405,0.01214754581451416
2,NONE,1.0,lapgyn4_anatomical_actions,0.02343198189026668,0.36761083576811926,0.03378443047404289,0.18018363416194916,0.030311048832237533,0.4077094051962914,0.04155673459172249,0.22163592278957367,0.006879066941970852,0.04009856942817214,0.007772304117679596,0.04145228862762451
3,NONE,1.0,nerthus_bowel_cleansing_quality,0.00018676833656172676,0.0030865653049088784,2.3817210603738204e-06,1.2702512321993709e-05,0.00011956968728554784,0.0008841605356223416,1.9543499263363628e-07,1.0423199228171143e-06,-6.719864927617891e-05,-0.002202404769286537,-2.186286067740184e-06,-1.1660192399176594e-05
4,NONE,1.0,hyperkvasir_therapeutic-interventions,0.06014542073726353,0.360851632241003,0.06510695070028305,0.2604278028011322,0.0490236704826499,0.33893333877418186,0.05743790417909622,0.2297516167163849,-0.011121750254613635,-0.021918293466821115,-0.007669046521186829,-0.030676186084747314
5,NONE,1.0,cholec80_grasper_presence,0.019574400507228584,0.28588056320395117,0.040863845497369766,0.16345538198947906,0.01876433738105986,0.2874612304743394,0.04131697490811348,0.16526789963245392,-0.0008100631261687245,0.0015806672703882474,0.0004531294107437134,0.0018125176429748535
6,NONE,1.0,cholec80_hook_presence,0.004331116577320553,0.14374481819904572,0.010331286117434502,0.04132514446973801,0.004049692919788357,0.14009742080954946,0.009813643991947174,0.039254575967788696,-0.0002814236575321956,-0.0036473973894962652,-0.0005176421254873276,-0.0020705685019493103
7,NONE,1.0,idle_action_recognition,0.005481742860154366,0.10088336120442735,0.005088726058602333,0.020354904234409332,0.002894018037003222,0.12430079748505063,0.00772534403949976,0.03090137615799904,-0.0025877248231511436,0.023417436280623274,0.0026366179808974266,0.010546471923589706
8,NONE,1.0,brain_tumor_classification,0.02033640812844672,0.20227586378086218,0.020457761362195015,0.08183104544878006,0.01127413979074151,0.21658123438223847,0.023453712463378906,0.09381484985351562,-0.00906226833770521,0.014305370601376294,0.0029959511011838913,0.011983804404735565
9,NONE,1.0,brain_tumor_type_classification,0.01765624130822409,0.23025897721295288,0.01767306588590145,0.0795287936925888,0.021999031461558086,0.26388740388211984,0.023212185129523277,0.10445483028888702,0.004342790153333994,0.03362842666916696,0.005539119243621826,0.024926036596298218
10,NONE,1.0,chexpert_enlarged_cardiomediastinum,0.1178884068796989,0.628452930280102,0.19747653603553772,0.7899061441421509,0.11946891713552554,0.6280770686247834,0.19724041223526,0.78896164894104,0.0015805102558266448,-0.00037586165531855453,-0.00023612380027770996,-0.0009444952011108398
11,NONE,1.0,chexpert_cardiomegaly,0.06868258441585723,0.49434700715346447,0.1221894696354866,0.4887578785419464,0.07108505465794075,0.4915097410878165,0.12079091370105743,0.48316365480422974,0.0024024702420835237,-0.002837266065647992,-0.0013985559344291687,-0.005594223737716675
12,NONE,1.0,chexpert_edema,0.05175223800439485,0.5214797351672706,0.13597054779529572,0.5438821911811829,0.04904870315012059,0.51935461261483,0.13486461341381073,0.5394584536552429,-0.002703534854274263,-0.0021251225524406836,-0.0011059343814849854,-0.004423737525939941
13,NONE,1.0,chexpert_consolidation,0.06723773886133402,0.4745908328171122,0.11261823028326035,0.4504729211330414,0.06853739322628936,0.463216736454656,0.10728488117456436,0.42913952469825745,0.001299654364955341,-0.011374096362456176,-0.005333349108695984,-0.021333396434783936
14,NONE,1.0,chexpert_pneumonia,0.13269089137852325,0.7043948751137128,0.24808606505393982,0.9923442602157593,0.14498024445463153,0.6949293179807748,0.24146339297294617,0.9658535718917847,0.01228935307610829,-0.009465557132937952,-0.006622672080993652,-0.02649068832397461
15,NONE,1.0,chexpert_pneumothorax,0.1140280029492875,0.6321127063246892,0.19978325068950653,0.7991330027580261,0.11754323313123335,0.6259120235015609,0.19588293135166168,0.7835317254066467,0.0035152301819458553,-0.006200682823128245,-0.0039003193378448486,-0.015601277351379395
16,NONE,1.0,chexpert_pleural_effusion,0.09123640390657481,0.44023003506937314,0.09690123796463013,0.3876049518585205,0.08815447995580222,0.4356310416373855,0.09488720446825027,0.3795488178730011,-0.003081923950772586,-0.0045989934319876635,-0.0020140334963798523,-0.00805613398551941
17,NONE,1.0,chexpert_fracture,0.22890388882320303,0.7425358705097721,0.27567973732948303,1.1027189493179321,0.2176238929289718,0.7326993063915751,0.2684241235256195,1.073696494102478,-0.011279995894231232,-0.009836564118197,-0.007255613803863525,-0.0290224552154541
18,NONE,1.0,pneumonia_classification,0.014248710413377778,0.19423655553788127,0.018863920122385025,0.0754556804895401,0.011570424964579613,0.18378925344833164,0.016889244318008423,0.06755697727203369,-0.0026782854487981643,-0.010447302089549637,-0.001974675804376602,-0.007898703217506409
